day_of_year,day_of_week,is_holiday,avg_temp,precip,cloud,humidity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
251,6,1,17.1,0.1,0.54,0.72,0.264,0.236,0.28,0.229,0.235,0.289,0.376,0.374,0.419,0.382,0.279,0.361,0.361,0.37,0.301,0.336,0.256,0.409,0.427,0.404,0.425,0.293,0.3,0.299
252,7,1,14.0,0.6,0.14,0.45,0.448,0.489,0.472,0.45,0.476,0.474,0.721,0.697,0.667,0.67,0.568,0.579,0.594,0.579,0.586,0.578,0.58,0.749,0.768,0.772,0.796,0.515,0.52,0.514
253,1,0,13.1,1.4,0.91,0.79,0.288,0.273,0.257,0.292,0.278,0.248,0.451,0.402,0.404,0.421,0.326,0.372,0.35,0.332,0.343,0.356,0.328,0.462,0.407,0.444,0.477,0.326,0.315,0.342
254,2,0,13.7,0.5,0.68,0.73,0.456,0.478,0.413,0.464,0.442,0.437,0.649,0.683,0.652,0.655,0.533,0.573,0.538,0.555,0.545,0.533,0.534,0.721,0.708,0.693,0.75,0.48,0.474,0.51
255,3,0,9.6,0.2,0.73,0.78,0.47,0.481,0.469,0.467,0.479,0.467,0.693,0.686,0.672,0.68,0.588,0.589,0.597,0.597,0.558,0.575,0.579,0.76,0.759,0.756,0.758,0.496,0.545,0.541
256,4,0,12.1,0.9,0.84,0.56,0.318,0.314,0.303,0.314,0.3,0.327,0.466,0.449,0.503,0.477,0.377,0.377,0.365,0.38,0.379,0.409,0.394,0.486,0.493,0.487,0.477,0.361,0.361,0.34
257,5,0,11.3,0.9,0.33,0.86,0.339,0.408,0.341,0.363,0.331,0.355,0.557,0.566,0.562,0.568,0.444,0.456,0.464,0.457,0.472,0.454,0.461,0.596,0.594,0.599,0.596,0.438,0.394,0.416
258,6,1,16.0,0.5,0.55,0.7,0.362,0.366,0.365,0.411,0.366,0.348,0.547,0.555,0.551,0.574,0.479,0.445,0.469,0.449,0.466,0.468,0.448,0.569,0.591,0.584,0.588,0.41,0.38,0.422
259,7,1,11.5,0.3,0.53,0.65,0.432,0.487,0.485,0.483,0.427,0.464,0.696,0.686,0.655,0.696,0.528,0.579,0.56,0.577,0.571,0.585,0.587,0.744,0.773,0.766,0.719,0.535,0.502,0.497
260,1,0,10.4,0.3,0.31,0.65,0.336,0.303,0.33,0.329,0.312,0.323,0.454,0.472,0.484,0.456,0.442,0.443,0.398,0.418,0.426,0.409,0.392,0.545,0.508,0.507,0.523,0.366,0.391,0.388
261,2,0,9.0,1.7,0.22,0.83,0.494,0.46,0.513,0.496,0.516,0.467,0.712,0.717,0.727,0.727,0.584,0.554,0.574,0.606,0.577,0.627,0.605,0.761,0.787,0.783,0.752,0.506,0.571,0.568
262,3,0,12.0,0.3,0.12,0.76,0.399,0.443,0.398,0.373,0.392,0.383,0.615,0.622,0.626,0.648,0.511,0.522,0.489,0.497,0.453,0.47,0.472,0.626,0.66,0.633,0.606,0.443,0.462,0.461
263,4,0,9.1,0.2,0.18,0.57,0.448,0.472,0.43,0.434,0.458,0.469,0.668,0.675,0.683,0.706,0.541,0.577,0.56,0.586,0.57,0.602,0.547,0.735,0.73,0.744,0.73,0.496,0.504,0.509
264,5,0,11.8,0.5,0.55,0.74,0.42,0.457,0.465,0.465,0.434,0.455,0.684,0.626,0.676,0.688,0.561,0.53,0.56,0.561,0.567,0.556,0.548,0.732,0.709,0.729,0.744,0.502,0.515,0.528
265,6,1,14.4,1.3,0.62,0.64,0.444,0.452,0.42,0.463,0.453,0.417,0.618,0.657,0.655,0.647,0.527,0.565,0.527,0.546,0.558,0.549,0.555,0.682,0.726,0.707,0.722,0.49,0.455,0.482
266,7,1,14.4,0.8,0.55,0.68,0.276,0.287,0.275,0.252,0.24,0.254,0.42,0.357,0.396,0.34,0.328,0.312,0.319,0.32,0.325,0.337,0.324,0.428,0.434,0.397,0.402,0.246,0.278,0.307
267,1,0,16.0,0.8,0.48,0.85,0.353,0.346,0.324,0.359,0.361,0.342,0.53,0.574,0.536,0.542,0.452,0.444,0.466,0.452,0.446,0.466,0.458,0.565,0.563,0.602,0.585,0.395,0.409,0.393
268,2,0,12.5,0.2,0.41,0.86,0.454,0.409,0.4,0.357,0.382,0.399,0.551,0.558,0.596,0.58,0.471,0.498,0.494,0.486,0.489,0.498,0.458,0.63,0.656,0.622,0.657,0.424,0.416,0.443
269,3,0,12.3,0.5,0.5,0.77,0.274,0.259,0.283,0.271,0.316,0.246,0.409,0.421,0.392,0.406,0.349,0.354,0.346,0.333,0.34,0.345,0.372,0.415,0.434,0.461,0.428,0.303,0.303,0.321
270,4,0,10.9,2.4,0.78,0.6,0.417,0.406,0.412,0.412,0.41,0.451,0.627,0.617,0.633,0.608,0.527,0.55,0.526,0.484,0.523,0.53,0.519,0.676,0.685,0.668,0.689,0.472,0.432,0.501
271,5,0,9.2,0.1,0.65,0.75,0.347,0.369,0.404,0.359,0.393,0.395,0.555,0.58,0.561,0.586,0.482,0.45,0.465,0.505,0.481,0.491,0.468,0.623,0.567,0.618,0.608,0.442,0.407,0.423
272,6,1,13.4,2.1,0.7,0.85,0.332,0.311,0.36,0.326,0.315,0.325,0.489,0.475,0.462,0.495,0.366,0.412,0.413,0.414,0.403,0.44,0.448,0.51,0.532,0.546,0.526,0.36,0.351,0.354
273,7,1,9.7,1.9,0.76,0.69,0.284,0.237,0.269,0.283,0.3,0.273,0.38,0.387,0.403,0.377,0.311,0.378,0.303,0.314,0.336,0.341,0.357,0.412,0.417,0.446,0.449,0.273,0.292,0.272
274,1,0,8.0,1.6,0.28,0.58,0.339,0.38,0.343,0.347,0.349,0.388,0.537,0.498,0.529,0.519,0.456,0.427,0.435,0.41,0.419,0.389,0.427,0.567,0.565,0.544,0.519,0.378,0.372,0.365
275,2,0,9.4,1.0,0.19,0.71,0.376,0.371,0.33,0.364,0.333,0.369,0.522,0.547,0.544,0.498,0.42,0.434,0.442,0.407,0.448,0.469,0.41,0.581,0.537,0.559,0.57,0.423,0.39,0.411
276,3,0,8.9,1.3,0.64,0.55,0.471,0.47,0.476,0.44,0.479,0.48,0.698,0.7,0.687,0.708,0.609,0.562,0.567,0.605,0.605,0.576,0.604,0.712,0.751,0.761,0.736,0.524,0.529,0.537
277,4,0,7.7,1.9,0.16,0.68,0.337,0.337,0.358,0.356,0.285,0.342,0.492,0.497,0.502,0.493,0.43,0.398,0.436,0.429,0.415,0.406,0.4,0.547,0.532,0.56,0.547,0.419,0.399,0.362
278,5,0,5.0,1.1,0.76,0.75,0.243,0.253,0.227,0.247,0.27,0.253,0.4,0.376,0.429,0.359,0.304,0.323,0.324,0.331,0.346,0.322,0.361,0.425,0.416,0.426,0.425,0.249,0.292,0.307
279,6,1,8.9,0.1,0.72,0.68,0.332,0.299,0.356,0.348,0.329,0.349,0.453,0.451,0.438,0.495,0.369,0.409,0.39,0.39,0.41,0.38,0.402,0.534,0.513,0.528,0.512,0.352,0.348,0.379
280,7,1,9.9,1.6,0.78,0.81,0.445,0.444,0.405,0.386,0.428,0.441,0.629,0.628,0.622,0.676,0.566,0.538,0.543,0.515,0.538,0.551,0.538,0.725,0.713,0.71,0.719,0.49,0.476,0.486
281,1,0,10.5,2.6,0.25,0.72,0.422,0.404,0.389,0.408,0.408,0.408,0.596,0.616,0.611,0.6,0.537,0.511,0.527,0.501,0.526,0.48,0.541,0.672,0.675,0.659,0.662,0.465,0.49,0.451
282,2,0,6.7,0.3,0.88,0.81,0.308,0.259,0.297,0.288,0.272,0.306,0.427,0.437,0.491,0.469,0.351,0.37,0.377,0.375,0.381,0.388,0.393,0.507,0.506,0.508,0.471,0.365,0.339,0.325
283,3,0,9.5,0.4,0.7,0.75,0.387,0.369,0.387,0.413,0.383,0.405,0.561,0.608,0.594,0.593,0.498,0.497,0.497,0.502,0.501,0.495,0.484,0.624,0.664,0.644,0.658,0.479,0.474,0.424
284,4,0,9.9,1.5,0.46,0.7,0.466,0.397,0.413,0.372,0.378,0.411,0.593,0.658,0.618,0.645,0.548,0.522,0.536,0.547,0.505,0.544,0.518,0.68,0.671,0.695,0.681,0.489,0.491,0.465
285,5,0,9.7,2.3,0.5,0.69,0.418,0.416,0.417,0.406,0.415,0.402,0.609,0.621,0.625,0.653,0.539,0.544,0.554,0.521,0.546,0.513,0.54,0.67,0.696,0.712,0.697,0.498,0.489,0.464
286,6,1,7.2,0.2,0.17,0.92,0.237,0.245,0.226,0.238,0.261,0.268,0.386,0.383,0.416,0.364,0.352,0.359,0.331,0.297,0.299,0.288,0.324,0.43,0.427,0.389,0.436,0.275,0.29,0.324
287,7,1,8.8,1.1,0.36,0.65,0.412,0.401,0.409,0.457,0.429,0.416,0.613,0.604,0.618,0.629,0.526,0.535,0.512,0.512,0.496,0.476,0.488,0.683,0.628,0.675,0.659,0.481,0.445,0.445
288,1,0,8.7,1.6,0.33,0.52,0.415,0.431,0.404,0.439,0.438,0.446,0.633,0.661,0.621,0.608,0.555,0.525,0.512,0.531,0.515,0.522,0.538,0.738,0.71,0.702,0.675,0.475,0.488,0.499
289,2,0,7.7,1.0,0.63,0.66,0.404,0.416,0.438,0.447,0.414,0.404,0.635,0.66,0.655,0.638,0.512,0.541,0.506,0.512,0.572,0.528,0.549,0.634,0.668,0.708,0.71,0.51,0.488,0.499
290,3,0,6.6,0.3,0.36,0.81,0.344,0.328,0.317,0.302,0.337,0.335,0.52,0.492,0.487,0.512,0.414,0.399,0.437,0.396,0.417,0.424,0.442,0.518,0.568,0.52,0.506,0.372,0.337,0.368
291,4,0,10.4,0.1,0.57,0.79,0.338,0.302,0.384,0.317,0.301,0.33,0.472,0.521,0.478,0.49,0.371,0.401,0.369,0.407,0.358,0.405,0.395,0.533,0.492,0.538,0.517,0.326,0.385,0.352
292,5,0,7.4,0.8,0.2,0.75,0.498,0.474,0.421,0.477,0.449,0.477,0.665,0.675,0.676,0.642,0.561,0.546,0.567,0.582,0.536,0.574,0.534,0.729,0.748,0.761,0.745,0.486,0.497,0.502
293,6,1,7.5,0.0,0.77,0.6,0.295,0.233,0.271,0.323,0.286,0.286,0.419,0.424,0.457,0.467,0.349,0.333,0.388,0.359,0.343,0.366,0.335,0.474,0.464,0.448,0.484,0.316,0.316,0.323
294,7,1,5.5,0.8,0.62,0.56,0.413,0.432,0.447,0.429,0.446,0.421,0.652,0.656,0.633,0.644,0.551,0.556,0.546,0.561,0.539,0.548,0.51,0.691,0.698,0.719,0.69,0.463,0.484,0.499
295,1,0,6.8,1.2,0.26,0.68,0.365,0.372,0.404,0.354,0.417,0.388,0.58,0.578,0.593,0.613,0.506,0.474,0.482,0.494,0.473,0.465,0.476,0.678,0.66,0.616,0.642,0.458,0.413,0.466
296,2,0,3.3,0.2,0.26,0.82,0.378,0.348,0.353,0.389,0.401,0.374,0.557,0.538,0.538,0.564,0.423,0.472,0.449,0.48,0.463,0.456,0.474,0.624,0.621,0.584,0.576,0.408,0.425,0.444
297,3,0,3.7,1.1,0.9,0.79,0.394,0.37,0.393,0.391,0.382,0.373,0.562,0.617,0.562,0.543,0.458,0.459,0.505,0.484,0.463,0.477,0.496,0.647,0.632,0.617,0.611,0.446,0.415,0.441
298,4,0,4.0,1.1,0.05,0.77,0.244,0.281,0.246,0.236,0.249,0.262,0.41,0.396,0.365,0.384,0.301,0.289,0.324,0.311,0.332,0.301,0.349,0.402,0.351,0.396,0.384,0.252,0.279,0.268
299,5,0,7.4,0.4,0.94,0.7,0.322,0.257,0.265,0.279,0.315,0.296,0.465,0.465,0.453,0.475,0.366,0.38,0.391,0.361,0.404,0.402,0.378,0.507,0.503,0.503,0.499,0.344,0.32,0.324
300,6,1,4.4,0.3,0.31,0.92,0.355,0.353,0.311,0.325,0.311,0.333,0.457,0.496,0.499,0.498,0.355,0.428,0.373,0.391,0.399,0.43,0.412,0.478,0.52,0.494,0.51,0.364,0.357,0.381
301,7,1,4.0,2.0,0.13,0.78,0.274,0.249,0.262,0.242,0.275,0.281,0.401,0.365,0.417,0.402,0.34,0.331,0.316,0.366,0.343,0.354,0.304,0.427,0.431,0.441,0.446,0.318,0.348,0.314
302,1,0,8.7,2.7,0.21,0.84,0.292,0.318,0.263,0.315,0.298,0.314,0.426,0.444,0.469,0.461,0.396,0.312,0.328,0.363,0.365,0.41,0.373,0.488,0.499,0.467,0.461,0.308,0.323,0.345
303,2,0,4.7,1.5,0.73,0.69,0.273,0.295,0.279,0.286,0.276,0.253,0.411,0.433,0.376,0.472,0.359,0.357,0.316,0.355,0.386,0.377,0.371,0.436,0.471,0.462,0.48,0.333,0.311,0.301
304,3,0,5.5,0.8,0.21,0.57,0.344,0.363,0.317,0.351,0.356,0.374,0.459,0.505,0.516,0.489,0.453,0.42,0.417,0.401,0.407,0.429,0.443,0.568,0.508,0.551,0.537,0.349,0.356,0.367
305,4,0,5.8,0.9,0.65,0.63,0.319,0.36,0.35,0.365,0.338,0.346,0.504,0.522,0.521,0.513,0.427,0.436,0.412,0.431,0.424,0.453,0.447,0.523,0.58,0.572,0.541,0.39,0.414,0.39
306,5,0,6.7,1.0,0.52,0.85,0.273,0.28,0.256,0.264,0.249,0.259,0.398,0.367,0.392,0.411,0.319,0.313,0.311,0.315,0.285,0.335,0.299,0.412,0.435,0.401,0.446,0.3,0.291,0.278
307,6,1,7.2,1.8,0.59,0.67,0.264,0.264,0.244,0.274,0.251,0.217,0.353,0.389,0.364,0.362,0.329,0.321,0.283,0.299,0.288,0.311,0.287,0.377,0.38,0.377,0.445,0.282,0.289,0.292
308,7,1,6.0,2.5,0.11,0.83,0.383,0.356,0.376,0.394,0.38,0.395,0.58,0.576,0.552,0.601,0.483,0.485,0.487,0.489,0.463,0.485,0.452,0.619,0.624,0.589,0.651,0.414,0.413,0.412
309,1,0,2.8,1.1,0.49,0.67,0.432,0.417,0.405,0.419,0.396,0.395,0.583,0.622,0.592,0.604,0.52,0.522,0.509,0.515,0.534,0.479,0.496,0.641,0.643,0.643,0.641,0.447,0.505,0.437
310,2,0,9.4,0.0,0.14,0.66,0.226,0.295,0.311,0.3,0.252,0.297,0.405,0.382,0.413,0.436,0.303,0.329,0.332,0.324,0.316,0.33,0.338,0.429,0.426,0.461,0.45,0.277,0.299,0.286
311,3,0,2.7,0.2,0.39,0.66,0.447,0.405,0.412,0.428,0.428,0.437,0.649,0.608,0.654,0.635,0.532,0.51,0.52,0.533,0.494,0.539,0.54,0.746,0.695,0.695,0.694,0.512,0.533,0.481
312,4,0,4.5,0.0,0.1,0.75,0.483,0.483,0.47,0.456,0.482,0.462,0.684,0.695,0.721,0.726,0.59,0.583,0.564,0.582,0.571,0.576,0.558,0.751,0.756,0.776,0.789,0.508,0.531,0.497
313,5,0,6.5,1.8,0.1,0.85,0.345,0.349,0.302,0.367,0.351,0.363,0.532,0.487,0.481,0.498,0.447,0.428,0.414,0.43,0.437,0.437,0.465,0.549,0.579,0.541,0.539,0.368,0.408,0.379
314,6,1,2.5,0.7,0.24,0.62,0.314,0.304,0.342,0.302,0.297,0.286,0.436,0.457,0.443,0.47,0.4,0.392,0.441,0.375,0.347,0.405,0.394,0.469,0.473,0.49,0.49,0.305,0.299,0.365
315,7,1,6.1,0.2,0.29,0.57,0.452,0.479,0.457,0.478,0.454,0.481,0.7,0.66,0.67,0.675,0.551,0.597,0.588,0.542,0.553,0.576,0.595,0.733,0.731,0.774,0.723,0.526,0.545,0.465
316,1,0,2.2,0.2,0.84,0.69,0.446,0.453,0.462,0.43,0.449,0.41,0.681,0.65,0.687,0.673,0.538,0.559,0.585,0.561,0.567,0.539,0.548,0.73,0.739,0.729,0.731,0.509,0.508,0.536
317,2,0,3.9,0.3,0.43,0.83,0.285,0.239,0.258,0.249,0.255,0.289,0.411,0.349,0.417,0.428,0.293,0.373,0.319,0.333,0.365,0.306,0.326,0.462,0.463,0.426,0.404,0.293,0.307,0.26
318,3,0,0.9,0.1,0.18,0.7,0.381,0.385,0.438,0.389,0.385,0.407,0.6,0.619,0.563,0.601,0.478,0.513,0.487,0.499,0.474,0.463,0.463,0.608,0.637,0.606,0.649,0.431,0.463,0.451
319,4,0,2.6,2.6,0.09,0.67,0.402,0.391,0.417,0.37,0.38,0.404,0.583,0.587,0.572,0.627,0.535,0.515,0.514,0.482,0.476,0.522,0.491,0.684,0.654,0.661,0.701,0.457,0.423,0.45
320,5,0,3.0,0.5,0.2,0.68,0.351,0.296,0.353,0.304,0.345,0.34,0.516,0.516,0.511,0.503,0.431,0.472,0.418,0.443,0.407,0.426,0.447,0.594,0.583,0.507,0.531,0.368,0.38,0.343
321,6,1,2.2,0.5,0.18,0.58,0.241,0.278,0.237,0.281,0.284,0.256,0.396,0.419,0.384,0.378,0.315,0.318,0.317,0.321,0.298,0.324,0.319,0.435,0.431,0.422,0.419,0.292,0.305,0.286
322,7,1,2.4,1.5,0.14,0.64,0.382,0.462,0.422,0.406,0.453,0.42,0.618,0.638,0.622,0.604,0.507,0.521,0.536,0.523,0.534,0.526,0.533,0.726,0.66,0.702,0.707,0.465,0.468,0.489
323,1,0,1.0,3.6,0.21,0.85,0.323,0.342,0.281,0.32,0.325,0.33,0.464,0.463,0.479,0.503,0.387,0.44,0.359,0.412,0.372,0.394,0.375,0.501,0.52,0.511,0.523,0.378,0.369,0.324
324,2,0,-0.8,0.5,0.87,0.62,0.358,0.368,0.364,0.384,0.357,0.355,0.527,0.571,0.573,0.578,0.437,0.454,0.483,0.443,0.467,0.449,0.487,0.635,0.594,0.564,0.596,0.433,0.433,0.466
325,3,0,2.6,0.9,0.59,0.69,0.273,0.277,0.306,0.285,0.267,0.28,0.449,0.399,0.354,0.382,0.345,0.358,0.333,0.361,0.299,0.302,0.342,0.441,0.421,0.439,0.447,0.294,0.306,0.314
326,4,0,0.5,2.9,0.49,0.74,0.448,0.437,0.455,0.431,0.453,0.445,0.644,0.654,0.656,0.676,0.538,0.572,0.54,0.545,0.57,0.587,0.571,0.769,0.772,0.72,0.767,0.488,0.498,0.485
327,5,0,2.3,0.7,0.64,0.77,0.276,0.279,0.235,0.262,0.271,0.323,0.455,0.397,0.432,0.366,0.314,0.33,0.329,0.307,0.304,0.309,0.324,0.445,0.451,0.374,0.466,0.291,0.303,0.317
328,6,1,3.0,0.6,0.44,0.88,0.272,0.303,0.302,0.321,0.273,0.295,0.423,0.429,0.448,0.412,0.389,0.341,0.363,0.41,0.341,0.361,0.375,0.494,0.484,0.438,0.472,0.324,0.318,0.346
329,7,1,4.9,0.4,0.96,0.61,0.439,0.454,0.452,0.439,0.458,0.47,0.637,0.685,0.669,0.686,0.573,0.539,0.587,0.572,0.609,0.554,0.571,0.688,0.756,0.721,0.714,0.516,0.528,0.491
330,1,0,1.9,3.3,0.55,0.55,0.48,0.476,0.499,0.461,0.472,0.47,0.696,0.745,0.693,0.724,0.601,0.604,0.603,0.591,0.593,0.587,0.601,0.799,0.748,0.765,0.753,0.5,0.523,0.549
331,2,0,-0.5,1.1,0.5,0.65,0.341,0.335,0.349,0.357,0.356,0.345,0.527,0.527,0.543,0.558,0.453,0.45,0.429,0.45,0.468,0.462,0.428,0.616,0.572,0.561,0.597,0.393,0.4,0.386
332,3,0,1.2,0.7,0.47,0.68,0.43,0.419,0.428,0.445,0.45,0.425,0.621,0.626,0.605,0.667,0.531,0.524,0.518,0.515,0.539,0.523,0.505,0.691,0.696,0.676,0.675,0.472,0.473,0.448
333,4,0,-0.0,0.1,0.47,0.79,0.431,0.42,0.447,0.477,0.455,0.472,0.644,0.646,0.636,0.699,0.55,0.53,0.537,0.561,0.577,0.567,0.594,0.67,0.685,0.713,0.681,0.516,0.478,0.498
334,5,0,3.4,0.1,0.23,0.52,0.425,0.411,0.345,0.376,0.394,0.374,0.611,0.585,0.607,0.604,0.52,0.477,0.494,0.53,0.488,0.514,0.518,0.642,0.627,0.648,0.623,0.437,0.437,0.422
335,6,1,-1.1,1.5,0.23,0.62,0.416,0.444,0.42,0.445,0.413,0.435,0.653,0.658,0.7,0.671,0.554,0.535,0.562,0.555,0.546,0.578,0.526,0.738,0.677,0.723,0.746,0.491,0.472,0.455
336,7,1,1.3,0.2,0.43,0.63,0.349,0.3,0.348,0.337,0.313,0.356,0.496,0.474,0.505,0.508,0.402,0.425,0.406,0.43,0.411,0.43,0.402,0.512,0.55,0.543,0.574,0.391,0.386,0.354
337,1,0,1.9,1.3,0.71,0.46,0.383,0.41,0.402,0.42,0.379,0.381,0.617,0.593,0.583,0.594,0.462,0.492,0.482,0.453,0.498,0.465,0.47,0.661,0.66,0.641,0.636,0.441,0.426,0.444
338,2,0,2.3,1.2,0.11,0.57,0.303,0.298,0.345,0.304,0.309,0.325,0.457,0.538,0.483,0.489,0.392,0.414,0.397,0.368,0.41,0.4,0.407,0.512,0.513,0.551,0.534,0.361,0.343,0.36
339,3,0,1.0,1.0,0.84,0.88,0.461,0.473,0.433,0.484,0.44,0.467,0.691,0.695,0.692,0.695,0.602,0.591,0.589,0.565,0.587,0.581,0.557,0.751,0.755,0.747,0.708,0.559,0.499,0.491
340,4,0,2.6,0.5,0.53,0.74,0.274,0.332,0.289,0.288,0.269,0.263,0.43,0.429,0.41,0.45,0.363,0.362,0.383,0.344,0.369,0.382,0.346,0.475,0.482,0.462,0.423,0.297,0.324,0.327
341,5,0,-0.8,2.4,0.32,0.91,0.396,0.429,0.4,0.394,0.456,0.396,0.612,0.571,0.641,0.648,0.539,0.543,0.532,0.519,0.501,0.511,0.524,0.69,0.664,0.683,0.703,0.439,0.512,0.458
342,6,1,2.8,0.4,0.55,0.74,0.287,0.278,0.297,0.298,0.27,0.291,0.407,0.432,0.402,0.432,0.346,0.368,0.354,0.36,0.353,0.364,0.36,0.515,0.465,0.47,0.454,0.331,0.304,0.309
343,7,1,1.0,0.1,0.74,0.69,0.345,0.261,0.279,0.268,0.284,0.29,0.437,0.476,0.441,0.466,0.353,0.382,0.398,0.348,0.377,0.331,0.377,0.445,0.459,0.498,0.496,0.326,0.33,0.368
344,1,0,-1.9,0.1,0.4,0.75,0.388,0.417,0.399,0.436,0.38,0.445,0.651,0.631,0.645,0.668,0.555,0.52,0.52,0.528,0.539,0.564,0.523,0.728,0.713,0.667,0.715,0.464,0.501,0.504
345,2,0,2.0,0.3,0.2,0.83,0.353,0.339,0.369,0.341,0.344,0.352,0.52,0.532,0.535,0.54,0.462,0.439,0.431,0.426,0.416,0.424,0.471,0.582,0.6,0.574,0.573,0.408,0.38,0.401
346,3,0,-0.7,0.5,0.45,0.52,0.253,0.28,0.275,0.253,0.271,0.276,0.413,0.437,0.402,0.41,0.331,0.358,0.359,0.353,0.329,0.346,0.36,0.463,0.436,0.469,0.475,0.314,0.33,0.328
347,4,0,-0.5,0.9,0.55,0.67,0.36,0.336,0.337,0.382,0.341,0.377,0.535,0.545,0.505,0.551,0.409,0.424,0.456,0.446,0.44,0.402,0.458,0.551,0.565,0.58,0.559,0.41,0.372,0.437
348,5,0,0.9,1.2,0.57,0.74,0.382,0.34,0.347,0.362,0.344,0.333,0.52,0.519,0.495,0.522,0.401,0.399,0.414,0.397,0.461,0.445,0.443,0.563,0.571,0.535,0.551,0.396,0.436,0.388
349,6,1,-1.5,1.1,0.39,0.71,0.287,0.245,0.243,0.266,0.266,0.286,0.368,0.363,0.337,0.379,0.333,0.326,0.334,0.333,0.306,0.311,0.346,0.411,0.443,0.402,0.409,0.29,0.271,0.281
350,7,1,-0.3,0.3,0.55,0.75,0.302,0.331,0.312,0.324,0.295,0.294,0.409,0.461,0.458,0.472,0.351,0.372,0.345,0.387,0.37,0.403,0.341,0.471,0.482,0.46,0.484,0.302,0.34,0.322
351,1,0,2.0,0.0,0.38,0.67,0.5,0.494,0.462,0.464,0.482,0.461,0.692,0.685,0.692,0.722,0.554,0.576,0.561,0.582,0.552,0.576,0.573,0.775,0.773,0.764,0.744,0.539,0.549,0.517
352,2,0,1.8,1.3,0.27,0.75,0.273,0.281,0.22,0.266,0.306,0.3,0.43,0.399,0.388,0.388,0.297,0.325,0.336,0.326,0.328,0.327,0.351,0.445,0.422,0.445,0.422,0.298,0.294,0.28
353,3,0,-1.6,0.3,0.74,0.75,0.34,0.354,0.352,0.35,0.31,0.338,0.49,0.509,0.496,0.533,0.428,0.411,0.401,0.4,0.432,0.401,0.446,0.553,0.569,0.559,0.562,0.387,0.376,0.398
354,4,0,-1.0,0.3,0.85,0.71,0.417,0.384,0.444,0.415,0.429,0.411,0.632,0.618,0.637,0.655,0.523,0.538,0.551,0.517,0.499,0.571,0.564,0.69,0.66,0.659,0.66,0.491,0.45,0.499
355,5,0,-1.3,0.2,0.54,0.63,0.404,0.407,0.384,0.431,0.395,0.455,0.594,0.599,0.607,0.63,0.531,0.52,0.535,0.555,0.554,0.505,0.564,0.664,0.678,0.688,0.669,0.447,0.491,0.479
356,6,1,2.7,0.1,0.38,0.93,0.39,0.386,0.365,0.407,0.333,0.357,0.585,0.538,0.572,0.564,0.441,0.465,0.48,0.418,0.469,0.48,0.459,0.608,0.634,0.615,0.584,0.41,0.411,0.428
357,7,1,2.1,0.8,0.72,0.63,0.444,0.432,0.45,0.413,0.43,0.401,0.601,0.635,0.646,0.637,0.549,0.512,0.537,0.558,0.505,0.528,0.564,0.667,0.74,0.667,0.665,0.473,0.48,0.503
358,1,0,1.4,3.3,0.24,0.65,0.259,0.292,0.274,0.249,0.27,0.233,0.383,0.384,0.427,0.411,0.31,0.282,0.355,0.323,0.376,0.382,0.317,0.458,0.391,0.439,0.449,0.325,0.29,0.318
359,2,0,1.6,0.5,0.34,0.78,0.317,0.294,0.361,0.382,0.323,0.318,0.534,0.518,0.512,0.507,0.445,0.444,0.415,0.411,0.431,0.427,0.441,0.505,0.567,0.552,0.556,0.374,0.371,0.377
360,3,0,-0.1,0.5,0.46,0.53,0.375,0.375,0.341,0.389,0.4,0.377,0.592,0.557,0.639,0.587,0.468,0.454,0.557,0.492,0.46,0.542,0.48,0.609,0.647,0.622,0.622,0.42,0.462,0.431
361,4,0,-1.3,0.7,0.94,0.81,0.284,0.309,0.319,0.285,0.318,0.319,0.465,0.462,0.475,0.453,0.365,0.376,0.389,0.351,0.378,0.372,0.391,0.503,0.494,0.521,0.476,0.364,0.359,0.368
362,5,0,-0.0,1.9,0.02,0.56,0.404,0.387,0.362,0.399,0.368,0.398,0.604,0.601,0.607,0.588,0.496,0.478,0.483,0.514,0.486,0.475,0.49,0.636,0.656,0.635,0.648,0.419,0.471,0.437
363,6,1,-0.7,1.2,0.35,0.74,0.282,0.311,0.284,0.265,0.283,0.291,0.455,0.471,0.453,0.452,0.347,0.366,0.338,0.368,0.35,0.365,0.366,0.501,0.462,0.494,0.481,0.326,0.325,0.325
364,7,1,-2.0,1.3,0.52,0.75,0.313,0.314,0.333,0.315,0.348,0.349,0.455,0.466,0.529,0.456,0.417,0.372,0.422,0.377,0.398,0.377,0.427,0.497,0.51,0.514,0.538,0.313,0.361,0.35
365,1,0,-1.2,0.1,0.37,0.87,0.357,0.341,0.349,0.353,0.354,0.369,0.527,0.488,0.512,0.536,0.4,0.431,0.405,0.46,0.427,0.461,0.422,0.521,0.543,0.552,0.563,0.389,0.391,0.418
1,2,0,-2.7,2.2,0.76,0.64,0.382,0.417,0.366,0.398,0.393,0.375,0.612,0.609,0.591,0.555,0.436,0.498,0.478,0.503,0.525,0.504,0.478,0.623,0.614,0.599,0.646,0.468,0.477,0.413
2,3,0,-0.6,0.2,0.66,0.57,0.428,0.443,0.421,0.422,0.424,0.432,0.683,0.666,0.656,0.675,0.528,0.538,0.54,0.55,0.523,0.531,0.569,0.695,0.716,0.666,0.691,0.483,0.493,0.481
